Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Age
Delhi,2014,56000,Diesel,Automatic,Second,29.833300000000005,1968,187.74,5.0,29.5,Audi,A6,6
Jaipur,2008,111111,Diesel,Manual,First,28.658,1399,,5.0,2.0,Ford,Fiesta,12
Hyderabad,2012,104000,Diesel,Manual,First,20.608000000000004,2494,102.0,7.0,11.75,Toyota,Innova,8
Jaipur,2012,95100,Diesel,Manual,First,36.869,1248,74.0,5.0,3.75,Maruti,Swift,8
Pune,2017,70000,Petrol,Manual,First,28.2877,1193,88.7,5.0,4.5,Tata,Zest,3
Kochi,2016,54944,Petrol,Manual,First,28.98,1198,86.7,5.0,4.82,Honda,Amaze,4
Hyderabad,2012,70337,Diesel,Manual,First,32.2,1399,68.0,5.0,2.8,Ford,Figo,8
Jaipur,2013,99638,Diesel,Manual,First,37.352000000000004,1248,73.94,5.0,3.11,Maruti,Ritz,7
Delhi,2009,52000,Petrol,Manual,First,28.658,1497,117.3,5.0,3.25,Honda,City,11
Delhi,2011,75000,Diesel,Automatic,Second,26.9353,1995,218.0,5.0,13.9,BMW,5,9
Pune,2009,95980,Petrol,Manual,First,32.7796,1197,78.9,5.0,2.25,Hyundai,i10,11
Bangalore,2016,16000,Petrol,Manual,First,30.429,1197,82.0,5.0,5.75,Hyundai,Grand,4
Hyderabad,2007,73745,Petrol,Manual,First,27.37,1086,,5.0,2.1,Hyundai,Santro,13
Mumbai,2016,18949,Petrol,Manual,First,28.658,1198,86.7,5.0,5.0,Honda,Amaze,4
Delhi,2014,107000,Diesel,Manual,First,20.93,2982,168.5,7.0,16.5,Toyota,Fortuner,6
Coimbatore,2018,48367,Diesel,Automatic,First,28.4648,1968,174.33,5.0,39.58,Audi,A6,2
Delhi,2013,57000,Diesel,Manual,First,36.547000000000004,1498,89.84,5.0,5.5,Ford,Ecosport,7
Delhi,2014,58000,Diesel,Manual,First,24.311,2179,140.0,7.0,8.1,Mahindra,XUV500,6
Kolkata,2015,30000,Diesel,Manual,First,41.538000000000004,1498,98.6,5.0,3.5,Honda,Amaze,5
Kolkata,2013,34212,Diesel,Manual,First,35.532700000000006,1199,73.9,5.0,2.79,Volkswagen,Polo,7
Ahmedabad,2010,70002,Diesel,Manual,First,26.082,1493,110.0,5.0,3.45,Hyundai,Verna,10
Bangalore,2016,62000,Petrol,Manual,First,30.429,998,67.1,5.0,4.45,Maruti,Wagon,4
Delhi,2010,62001,Petrol,Manual,First,24.5686,1598,103.5,5.0,2.65,Volkswagen,Polo,10
Pune,2011,78958,Diesel,Manual,Second,37.03,1396,90.0,5.0,3.8,Hyundai,i20,9
Mumbai,2014,30180,Petrol,Manual,First,29.785,1197,82.85,5.0,4.65,Hyundai,i20,6
Pune,2017,32851,Petrol,Manual,First,31.926299999999998,1198,67.0,7.0,3.95,Datsun,GO,3
Kolkata,2010,30000,Diesel,Automatic,First,24.0534,2967,241.4,5.0,9.8,Audi,A4,10
Pune,2009,66000,Petrol,Manual,Second,27.37,1197,80.0,5.0,2.7,Hyundai,i20,11
Coimbatore,2010,93850,Petrol,Manual,First,22.540000000000003,796,35.0,5.0,2.41,Maruti,Omni,10
Ahmedabad,2014,53000,Petrol,Manual,First,28.5131,1197,78.9,5.0,3.9,Toyota,Etios,6
Hyderabad,2011,78000,Diesel,Automatic,Second,23.7314,2993,270.9,5.0,24.0,Jaguar,XF,9
Delhi,2012,65000,Diesel,Manual,Second,25.76,2179,140.0,7.0,5.75,Mahindra,XUV500,8
Kolkata,2014,40000,Diesel,Automatic,First,35.9352,1582,126.32,5.0,5.25,Hyundai,Verna,6
Mumbai,2017,30000,Diesel,Automatic,First,18.2896,2755,171.5,7.0,19.25,Toyota,Innova,3
Coimbatore,2017,38053,Petrol,Manual,First,24.311,1196,73.0,5.0,3.91,Maruti,Eeco,3
Bangalore,2014,25500,Petrol,Manual,First,40.894,624,37.5,4.0,2.15,Tata,Nano,6
Mumbai,2015,56087,Diesel,Automatic,First,36.5309,1995,190.0,5.0,20.75,BMW,3,5
Delhi,2010,71088,Petrol,Manual,First,21.735000000000003,1799,130.0,5.0,3.35,Honda,Civic,10
Ahmedabad,2014,55000,Diesel,Manual,First,20.9139,2494,100.6,7.0,11.11,Toyota,Innova,6
Bangalore,2014,32700,Diesel,Automatic,First,37.513000000000005,1984,150.0,5.0,20.0,Volvo,V40,6
Coimbatore,2016,39882,Petrol,Automatic,First,30.8315,1198,75.94,5.0,6.55,Nissan,Micra,4
Mumbai,2009,128000,Petrol,Automatic,First,17.388,2497,215.0,5.0,7.0,BMW,5,11
Mumbai,2016,55000,Diesel,Manual,First,39.123000000000005,1248,88.5,5.0,7.5,Maruti,Vitara,4
Mumbai,2005,102000,Petrol,Manual,Second,27.37,1086,,5.0,0.85,Hyundai,Santro,15
Pune,2014,53753,Diesel,Automatic,Second,24.150000000000002,2143,107.3,5.0,16.75,Mercedes-Benz,B,6
Kolkata,2018,10250,Diesel,Manual,First,35.42,1582,126.2,5.0,10.95,Hyundai,Verna,2
Pune,2011,43874,Petrol,Manual,First,30.429,998,67.1,5.0,2.45,Maruti,Wagon,9
Coimbatore,2017,32684,Petrol,Automatic,First,35.259,624,37.48,4.0,3.23,Tata,Nano,3
Kolkata,2014,42000,Diesel,Manual,First,19.4005,2179,120.0,8.0,7.75,Mahindra,Scorpio,6
Kolkata,2009,28352,Petrol,Automatic,First,18.837,1796,178.0,5.0,9.35,Mercedes-Benz,New,11
Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5.0,3.25,Maruti,Wagon,7
Bangalore,2007,47700,Petrol,Manual,Second,17.388,2354,152.0,5.0,5.25,Honda,CR-V,13
Pune,2015,55000,Diesel,Automatic,First,34.14810000000001,1498,103.2,5.0,7.25,Volkswagen,Vento,5
Kochi,2017,44285,Petrol,Manual,First,33.3753,1373,91.1,5.0,7.47,Maruti,Ciaz,3
Jaipur,2016,54000,Diesel,Automatic,First,25.76,2179,140.0,7.0,13.25,Mahindra,XUV500,4
Coimbatore,2016,30232,Petrol,Manual,First,33.971000000000004,1197,85.8,5.0,5.81,Maruti,Ritz,4
Hyderabad,2014,88500,Petrol,Manual,First,38.752700000000004,998,67.1,5.0,2.6,Maruti,Alto,6
Kolkata,2017,13372,Petrol,Automatic,First,30.590000000000003,2996,362.07,2.0,54.0,Mercedes-Benz,SLC,3
Kochi,2019,12645,Petrol,Automatic,First,27.37,1591,121.3,5.0,11.5,Hyundai,Verna,1
Chennai,2010,94385,Petrol,Manual,Second,31.717000000000002,796,46.3,5.0,1.6,Maruti,Alto,10
Coimbatore,2015,31821,Diesel,Automatic,First,33.1338,1995,143.0,5.0,17.22,BMW,1,5
Mumbai,2015,12000,Petrol,Automatic,First,30.590000000000003,1199,88.7,5.0,6.0,Honda,Jazz,5
Delhi,2012,88578,Petrol,Manual,First,21.735000000000003,1799,130.0,5.0,3.95,Honda,Civic,8
Kochi,2014,44965,Diesel,Automatic,First,31.024700000000003,2143,170.0,5.0,17.95,Mercedes-Benz,New,6
Kolkata,2014,45044,Diesel,Manual,First,41.538000000000004,1498,98.6,5.0,3.7,Honda,Amaze,6
Kochi,2016,34204,Petrol,Manual,First,35.42,1197,81.8,5.0,5.43,Maruti,Swift,4
Kochi,2008,80759,Petrol,Manual,Third,27.37,1086,,5.0,1.67,Hyundai,Santro,12
Coimbatore,2012,91235,Diesel,Manual,First,18.515,2982,171.0,7.0,13.49,Toyota,Fortuner,8
Pune,2014,38800,Petrol,Manual,First,29.946000000000005,1199,76.8,5.0,2.85,Chevrolet,Beat,6
Chennai,2013,83000,Diesel,Manual,First,34.0354,1498,103.52,5.0,4.75,Skoda,Rapid,7
Kochi,2018,41283,Petrol,Manual,First,33.3753,1373,91.1,5.0,9.9,Maruti,Ciaz,2
Mumbai,2013,23000,Petrol,Automatic,First,17.7905,2894,444.0,4.0,37.0,Audi,RS5,7
Mumbai,2014,48000,Diesel,Automatic,First,35.03360000000001,1995,190.0,5.0,26.5,BMW,3,6
Coimbatore,2015,48214,Diesel,Automatic,First,27.5471,1968,174.33,5.0,23.32,Audi,A4,5
Chennai,2016,35000,Diesel,Manual,First,36.869,1248,74.0,5.0,6.25,Maruti,Swift,4
Kolkata,2010,35277,Petrol,Automatic,First,12.5741,5461,362.9,5.0,30.0,Mercedes-Benz,S,10
Coimbatore,2016,54620,Diesel,Automatic,First,34.872600000000006,1498,103.52,5.0,9.86,Skoda,Rapid,4
Pune,2012,136997,Diesel,Automatic,First,27.692,1968,138.1,5.0,8.5,Skoda,Superb,8
Kochi,2019,14322,Petrol,Manual,First,33.971000000000004,814,55.2,5.0,4.23,Hyundai,EON,1
Jaipur,2012,65634,Diesel,Manual,First,35.532700000000006,1199,73.9,5.0,3.5,Volkswagen,Polo,8
Kolkata,2016,6000,Petrol,Manual,First,33.2143,1198,67.06,5.0,2.5,Datsun,GO,4
Kolkata,2013,33280,Petrol,Manual,First,31.233999999999998,1198,86.8,5.0,2.39,Honda,Brio,7
Delhi,2013,29000,Petrol,Automatic,First,23.828000000000003,1595,120.7,5.0,11.25,Mercedes-Benz,B,7
Kochi,2015,42831,Diesel,Manual,First,41.86,1498,98.6,5.0,7.11,Honda,City,5
Ahmedabad,2016,90000,Diesel,Manual,First,20.9139,2494,100.6,7.0,10.9,Toyota,Innova,4
Ahmedabad,2017,24005,Petrol,Manual,First,32.844,1197,81.8,5.0,6.2,Maruti,Swift,3
Mumbai,2012,32792,Diesel,Manual,First,24.311,2179,140.0,7.0,7.9,Mahindra,XUV500,8
Kochi,2014,147898,Diesel,Manual,First,36.547000000000004,1498,89.84,5.0,4.42,Ford,Ecosport,6
Mumbai,2012,131765,Diesel,Manual,First,20.93,2982,168.5,7.0,13.5,Toyota,Fortuner,8
Chennai,2013,65000,Diesel,Automatic,First,34.615,1498,108.5,5.0,6.25,Volkswagen,Vento,7
Jaipur,2010,66123,Diesel,Manual,Second,32.2,1399,68.0,5.0,2.1,Ford,Figo,10
Mumbai,2015,41000,Diesel,Automatic,First,24.633000000000003,2993,258.0,5.0,45.0,BMW,X5,5
Coimbatore,2017,23550,Diesel,Automatic,First,31.024700000000003,2143,167.62,5.0,33.66,Mercedes-Benz,New,3
Bangalore,2012,45000,Petrol,Manual,Second,31.233999999999998,1198,86.8,5.0,3.65,Honda,Brio,8
Delhi,2013,60000,Petrol,Manual,First,32.7796,1197,78.9,5.0,2.75,Hyundai,i10,7
Bangalore,2016,44414,Diesel,Automatic,First,28.819,2143,170.0,5.0,42.5,Mercedes-Benz,GLC,4
Kolkata,2019,1000,Petrol,Manual,First,30.429,1197,81.86,5.0,6.5,Hyundai,Grand,1
Mumbai,2012,62500,Diesel,Automatic,Second,28.4648,1968,174.33,5.0,19.0,Audi,A6,8
Mumbai,2013,21000,Petrol,Automatic,Second,23.184,1598,103.6,5.0,4.45,Volkswagen,Vento,7
Jaipur,2017,8525,Diesel,Automatic,Second,26.726000000000003,1998,112.0,5.0,23.0,Mini,Countryman,3
Bangalore,2014,29000,Diesel,Manual,First,36.2894,1396,88.73,5.0,8.35,Hyundai,i20,6
Mumbai,2014,40000,Diesel,Automatic,First,28.4648,1968,174.33,5.0,22.95,Audi,A6,6
Jaipur,2012,88000,Diesel,Manual,First,40.958400000000005,936,57.6,5.0,1.5,Chevrolet,Beat,8
Kochi,2012,53537,Petrol,Automatic,First,22.057,1798,157.75,5.0,6.89,Skoda,Superb,8
Hyderabad,2014,51000,Diesel,Automatic,First,36.192800000000005,1995,190.0,5.0,33.5,BMW,5,6
Jaipur,2007,118500,Petrol,Manual,First,20.769000000000002,1598,102.5,5.0,1.25,Chevrolet,Optra,13
Hyderabad,2012,63000,Diesel,Manual,First,35.532700000000006,1199,73.9,5.0,4.2,Volkswagen,Polo,8
Mumbai,2015,25000,Diesel,Manual,First,32.1678,1461,108.5,8.0,6.75,Renault,Lodgy,5
Bangalore,2014,37382,Diesel,Automatic,First,20.93,2143,201.1,5.0,32.0,Mercedes-Benz,E-Class,6
Kochi,2017,24773,Petrol,Manual,First,34.454,1197,83.1,5.0,7.5,Maruti,Baleno,3
Delhi,2012,62000,Diesel,Manual,First,35.9352,1582,126.32,5.0,4.6,Hyundai,Verna,8
Kochi,2017,52340,Petrol,Manual,First,31.894099999999998,1086,68.05,5.0,4.04,Hyundai,i10,3
Kochi,2016,56739,Diesel,Manual,First,24.794,1997,120.0,7.0,10.31,Mahindra,Scorpio,4
Coimbatore,2018,36091,Diesel,Automatic,First,20.447,2179,187.7,5.0,55.76,Land,Rover,2
Chennai,2010,120000,Diesel,Manual,First,32.2,1399,68.0,5.0,2.6,Ford,Figo,10
Mumbai,2016,33000,Diesel,Manual,First,41.0067,1248,88.5,7.0,8.5,Maruti,Ertiga,4
Kolkata,2014,52000,Diesel,Manual,First,41.538000000000004,1498,98.6,5.0,3.5,Honda,Amaze,6
Jaipur,2015,43571,Petrol,Manual,First,32.7796,1197,78.9,5.0,3.55,Hyundai,i10,5
Kolkata,2013,50000,Diesel,Manual,First,41.538000000000004,1498,98.6,5.0,3.25,Honda,Amaze,7
Hyderabad,2008,113000,Diesel,Manual,First,28.175,1896,106.0,5.0,4.5,Skoda,Laura,12
Delhi,2014,90000,Diesel,Manual,First,31.990700000000004,1461,83.8,5.0,5.35,Renault,Duster,6
Chennai,2017,29000,Diesel,Manual,Second,28.0945,1493,100.0,7.0,6.5,Mahindra,NuvoSport,3
Mumbai,2016,20000,Diesel,Manual,First,39.123000000000005,1248,88.5,5.0,9.0,Maruti,Vitara,4
Kochi,2016,61012,Petrol,Manual,First,29.946000000000005,1197,81.83,5.0,6.0,Hyundai,i20,4
Jaipur,2009,87459,Petrol,Manual,First,23.667,1390,85.0,5.0,2.75,Skoda,Fabia,11
Pune,2010,70500,Petrol,Manual,First,25.180400000000002,1193,64.1,5.0,1.5,Tata,Indigo,10
Delhi,2015,64103,Diesel,Automatic,First,25.325300000000002,1968,174.33,5.0,19.9,Audi,Q3,5
Mumbai,2014,76000,Petrol,Automatic,First,23.667,1798,177.5,5.0,10.0,Skoda,Octavia,6
Delhi,2014,104000,Diesel,Manual,First,37.9799,1364,67.06,5.0,3.0,Toyota,Etios,6
Kochi,2014,37245,Petrol,Automatic,First,23.828000000000003,1595,120.7,5.0,11.96,Mercedes-Benz,B,6
Kolkata,2013,45000,Diesel,Manual,First,44.114,1498,98.6,5.0,3.25,Honda,Amaze,7
Jaipur,2012,117837,Diesel,Manual,Second,35.9352,1582,126.32,5.0,4.75,Hyundai,Verna,8
Mumbai,2014,30000,Diesel,Manual,First,32.9406,1461,83.8,5.0,5.95,Renault,Duster,6
Delhi,2015,27057,Petrol,Manual,Second,24.6169,1591,121.3,5.0,8.15,Hyundai,Creta,5
Mumbai,2016,8500,Petrol,Automatic,First,33.021100000000004,998,67.0,5.0,4.22,Maruti,Wagon,4
Kolkata,2010,30500,Petrol,Automatic,First,18.901400000000002,1796,186.0,5.0,10.5,Mercedes-Benz,New,10
Delhi,2012,56000,Diesel,Automatic,First,18.998,2967,246.7,5.0,45.0,Audi,A8,8
Pune,2012,44000,Petrol,Manual,Second,31.894099999999998,1086,68.05,5.0,2.9,Hyundai,i10,8
Mumbai,2017,10500,Petrol,Automatic,First,23.023000000000003,1598,103.52,5.0,8.9,Skoda,Rapid,3
Hyderabad,2017,26000,Petrol,Automatic,First,23.6187,1798,177.46,5.0,26.0,Skoda,Superb,3
Coimbatore,2018,25166,Petrol,Manual,First,27.675900000000002,1197,81.86,5.0,8.22,Hyundai,i20,2
Kolkata,2014,64000,Diesel,Manual,Second,41.538000000000004,1498,98.6,5.0,3.5,Honda,Amaze,6
Chennai,2004,61000,Petrol,Manual,Second,30.429,998,67.1,5.0,1.25,Maruti,Wagon,16
Hyderabad,2013,107000,Diesel,Manual,First,33.85830000000001,1461,65.0,5.0,3.7,Mahindra,Verito,7
Coimbatore,2018,29161,Diesel,Automatic,First,31.024700000000003,2143,167.62,5.0,39.41,Mercedes-Benz,New,2
Kolkata,2013,32000,Petrol,Manual,First,36.225,998,67.04,5.0,2.65,Maruti,Wagon,7
Coimbatore,2015,46173,Diesel,Manual,Second,30.606100000000005,1461,108.5,5.0,8.92,Nissan,Terrano,5
Delhi,2013,47000,Diesel,Manual,First,28.658,1248,,5.0,4.1,Maruti,Swift,7
Kochi,2017,26327,Petrol,Automatic,First,27.0802,1998,189.08,4.0,35.67,Mini,Cooper,3
Kochi,2016,60813,Petrol,Manual,Second,29.946000000000005,1199,76.8,5.0,3.32,Chevrolet,Beat,4
Mumbai,2012,45000,Diesel,Manual,First,35.532700000000006,1199,73.9,5.0,3.6,Volkswagen,Polo,8
Hyderabad,2016,64000,Diesel,Manual,First,36.869,1248,74.0,5.0,6.8,Maruti,Swift,4
Kolkata,2012,41284,Diesel,Manual,First,32.2,1399,68.05,5.0,2.5,Ford,Figo,8
Kochi,2019,14165,Diesel,Automatic,First,18.2896,2755,171.5,7.0,19.64,Toyota,Innova,1
Mumbai,2011,67000,Diesel,Automatic,Second,18.869200000000003,2199,194.3,7.0,7.0,Hyundai,Santa,9
Kolkata,2011,32572,Petrol,Manual,First,28.014,1497,117.3,5.0,3.87,Honda,City,9
Kochi,2018,14960,Petrol,Manual,First,29.946000000000005,1197,81.83,5.0,6.27,Hyundai,i20,2
Kochi,2015,55980,Diesel,Automatic,First,31.024700000000003,2143,167.62,5.0,18.12,Mercedes-Benz,New,5
Mumbai,2013,74000,Diesel,Manual,First,40.958400000000005,936,57.6,5.0,2.65,Chevrolet,Beat,7
Kochi,2015,56847,Diesel,Manual,First,36.2894,1396,88.73,5.0,7.2,Hyundai,i20,5
Coimbatore,2015,121374,Diesel,Manual,First,20.9139,2494,100.6,7.0,14.3,Toyota,Innova,5
Chennai,2013,52000,Diesel,Manual,First,33.4397,1248,88.76,7.0,6.9,Maruti,Ertiga,7
Mumbai,2014,118000,Diesel,Manual,First,20.608000000000004,2494,102.0,7.0,10.75,Toyota,Innova,6
Mumbai,2007,72000,Petrol,Manual,Third,27.37,1086,,5.0,0.95,Hyundai,Santro,13
Kochi,2016,33915,Petrol,Manual,First,28.658,1497,117.3,5.0,8.09,Honda,City,4
Ahmedabad,2014,82002,Diesel,Automatic,First,27.4505,1995,184.0,5.0,18.5,BMW,X1,6
Mumbai,2017,33000,Diesel,Manual,First,38.64,1120,70.0,5.0,4.75,Hyundai,Grand,3
Chennai,2016,34000,Diesel,Manual,First,45.224900000000005,1248,88.5,5.0,8.45,Maruti,Ciaz,4
Kolkata,2012,55000,Diesel,Manual,First,33.005,1598,103.6,5.0,3.5,Skoda,Rapid,8
Kochi,2006,160538,Diesel,Manual,First,21.091,1493,82.0,5.0,1.8,Hyundai,Accent,14
Jaipur,2014,60000,Diesel,Manual,Second,32.0551,1498,103.6,5.0,3.7,Volkswagen,Polo,6
Coimbatore,2017,49575,Petrol,Manual,First,30.107,1199,88.7,5.0,7.17,Honda,Jazz,3
Jaipur,2010,83000,Petrol,Manual,First,31.894099999999998,1086,68.05,5.0,1.75,Hyundai,i10,10
Kochi,2018,51346,Diesel,Automatic,First,26.3718,1995,183.0,5.0,21.99,Hyundai,Tucson,2
Pune,2017,43000,Diesel,Manual,First,22.024800000000003,2393,147.8,7.0,18.65,Toyota,Innova,3
Jaipur,2011,35000,Petrol,Manual,Third,31.717000000000002,796,35.0,5.0,1.85,Maruti,Omni,9
Coimbatore,2017,27872,Petrol,Manual,Second,32.844,1197,81.8,5.0,5.95,Maruti,Swift,3
Mumbai,2014,16514,Petrol,Manual,First,30.429,1197,82.0,5.0,3.75,Hyundai,Grand,6
Pune,2012,120000,Diesel,Manual,First,36.869,1248,74.0,5.0,3.75,Maruti,Swift,8
Hyderabad,2008,143275,Diesel,Manual,First,35.42,1582,126.2,5.0,2.6,Hyundai,Verna,12
